id,RarityScore,PunkType,FullType,AttributeCount,Hair,Eyes,FacialHair,NeckAccessory,MouthProp,Mouth,Blemishes,Ears,Nose,ETHPrice,USDPrice,TimeInDays,TimesSold,LastUSDPrice,LastETHPrice,TimePurchase,LastPercentChange,DaysBetweenPurchases
8455,125.16,Male,Male-Dark,3,Police Cap,Clown Eyes Green,Muttonchops,Clown Eyes Green,None,None,None,None,None,"[69.99, 1.9, 0.13]","[169850.0, 4610.0, 315.4]","[27.0, 365.25, 1095.75]",3.0,169850.00,69.99,27.00,3583.5827369334206,338.25
8456,71.14,Female,Female-Albino,2,Stringy Hair,None,None,None,Cigarette,None,None,None,None,"[22.94, 20.99, 16.99, 1.5]","[55670.0, 50940.0, 41230.0, 3640.0]","[243.496, 273.933, 334.807, 365.25]",4.0,55670.00,22.94,243.50,9.283288510237334,30.436999999999983
8457,99.33,Male,Male-Light,3,Frumpy Hair,Clown Eyes Green,Normal Beard,Clown Eyes Green,None,None,None,None,None,"[125.0, 100.0, 68.0, 23.0, 21.5, 4.67, 2.9, 2.5]","[303350.0, 242680.0, 165020.0, 55820.0, 52180.0, 11330.0, 7040.0, 6070.0]","[91.311, 121.748, 152.185, 182.622, 182.622, 365.244, 365.25, 365.25]",8.0,303350.00,125.00,91.31,24.99948492053354,30.436999999999998
8458,108.97,Female,Female-Light,3,Wild Hair,Eye Mask,None,Eye Mask,Pipe,None,None,None,None,"[109.95, 120.0, 0.19, 0.06]","[266830.0, 291220.0, 461.0, 145.6]","[60.874, 60.874, 1095.75, 1095.75]",4.0,266830.00,109.95,60.87,-8.375426222696852,0.0
8459,61.63,Male,Male-Light,3,Wild Hair,Big Shades,None,Big Shades,None,None,None,Earring,None,"[28.5, 24.8]","[69160.0, 60180.0]","[243.496, 243.496]",2.0,69160.00,28.50,243.50,14.919991359399146,0.0
8460,92.82,Male,Male-Light,3,Wild Hair,Classic Shades,Normal Beard,Classic Shades,None,None,None,None,None,[32.0],[77660.0],[182.622],1.0,77660.00,32.00,182.62,NA,NA
8461,175.43,Female,Female-Mid,3,Wild Hair,Welding Goggles,None,Welding Goggles,None,Black Lipstick,None,None,None,[70.0],[169880.0],[152.185],1.0,169880.00,70.00,152.19,NA,NA
8462,90.64,Male,Male-Light,3,Bandana,Eye Patch,None,Eye Patch,Pipe,None,None,None,None,,,,,,,,,
8463,117.16,Male,Male-Light,4,Bandana,None,Muttonchops,None,None,Frown,None,Earring,None,"[58.0, 35.74, 27.0]","[140750.0, 86730.0, 65519.99999999999]","[152.185, 152.185, 334.807]",3.0,140750.00,58.00,152.19,62.283381951090156,0.0
8464,76.29,Male,Male-Light,2,Frumpy Hair,None,Normal Beard,None,None,None,None,None,None,"[50.0, 16.75, 22.85, 25.0, 25.0]","[121340.0, 40650.0, 55450.0, 60670.0, 60670.0]","[152.185, 213.059, 243.496, 304.37, 304.37]",5.0,121340.00,50.00,152.19,198.49204201618656,60.873999999999995
8465,232.99,Female,Female-Light,3,Pilot Helmet,None,None,None,Cigarette,Purple Lipstick,None,None,None,[0.27],[655.2],[1461.0],1.0,655.20,0.27,1461.00,NA,NA
8466,101.06,Male,Male-Dark,3,Headband,Eye Patch,Handlebars,Eye Patch,None,None,None,None,None,"[98.5, 21.94, 21.99]","[239040.0, 53240.0, 53370.0]","[60.874, 182.622, 182.622]",3.0,239040.00,98.50,60.87,348.9772919366653,121.74800000000002
8467,139.93,Female,Female-Dark,2,Tassle Hat,None,None,None,None,None,None,None,None,,,,,,,,,
